subject,item,rating_count,hidden_ref_score,anchor_score_max,anchor_score_mean,missing_hidden_ref,missing_anchor,hidden_ref_fail,anchor_fail_raw,anchor_fail_waived,anchor_fail,ref_anchor_delta,ref_anchor_delta_fail,trial_fail,trial_fail_reasons
S01,seq1,4,96,16,16,False,False,False,False,False,False,80,False,False,
S01,seq2,4,97.5,18,18,False,False,False,False,False,False,79.5,False,False,
S01,seq3,4,99,20,20,False,False,False,False,False,False,79,False,False,
S01,seq4,4,93,12,12,False,False,False,False,False,False,81,False,False,
S02,seq1,4,97.5,18,18,False,False,False,False,False,False,79.5,False,False,
S02,seq2,4,85,20,20,False,False,True,False,False,False,65,False,True,hidden reference < 90
S02,seq3,4,93,12,12,False,False,False,False,False,False,81,False,False,
S02,seq4,4,94.5,14,14,False,False,False,False,False,False,80.5,False,False,
S03,seq1,4,99,20,20,False,False,False,False,False,False,79,False,False,
S03,seq2,4,93,12,12,False,False,False,False,False,False,81,False,False,
S03,seq3,4,94.5,25,25,False,False,False,True,False,True,69.5,False,True,anchor > 20
S03,seq4,4,96,16,16,False,False,False,False,False,False,80,False,False,
S04,seq1,4,93,12,12,False,False,False,False,False,False,81,False,False,
S04,seq2,4,94.5,14,14,False,False,False,False,False,False,80.5,False,False,
S04,seq3,4,96,16,16,False,False,False,False,False,False,80,False,False,
S04,seq4,4,97.5,18,18,False,False,False,False,False,False,79.5,False,False,
S05,seq1,4,94.5,14,14,False,False,False,False,False,False,80.5,False,False,
S05,seq2,4,96,16,16,False,False,False,False,False,False,80,False,False,
S05,seq3,4,97.5,18,18,False,False,False,False,False,False,79.5,False,False,
S05,seq4,4,99,20,20,False,False,False,False,False,False,79,False,False,
S06,seq1,4,96,16,16,False,False,False,False,False,False,80,False,False,
S06,seq2,4,97.5,18,18,False,False,False,False,False,False,79.5,False,False,
S06,seq3,4,99,20,20,False,False,False,False,False,False,79,False,False,
S06,seq4,4,93,12,12,False,False,False,False,False,False,81,False,False,
S07,seq1,4,97.5,18,18,False,False,False,False,False,False,79.5,False,False,
S07,seq2,4,99,20,20,False,False,False,False,False,False,79,False,False,
S07,seq3,4,93,12,12,False,False,False,False,False,False,81,False,False,
S07,seq4,4,94.5,14,14,False,False,False,False,False,False,80.5,False,False,
S08,seq1,4,99,20,20,False,False,False,False,False,False,79,False,False,
S08,seq2,4,93,12,12,False,False,False,False,False,False,81,False,False,
S08,seq3,4,94.5,14,14,False,False,False,False,False,False,80.5,False,False,
S08,seq4,4,96,16,16,False,False,False,False,False,False,80,False,False,
