subject,item,condition,role,score
S01,seq1,HiddenRef,hidden_reference,0.9600000000000001
S01,seq1,Anchor,anchor,0.16
S01,seq1,CodecA,system,0.845
S01,seq1,CodecB,system,0.665
S01,seq2,HiddenRef,hidden_reference,0.9750000000000001
S01,seq2,Anchor,anchor,0.18
S01,seq2,CodecA,system,0.92
S01,seq2,CodecB,system,0.735
S01,seq3,HiddenRef,hidden_reference,0.99
S01,seq3,Anchor,anchor,0.2
S01,seq3,CodecA,system,0.77
S01,seq3,CodecB,system,0.805
S01,seq4,HiddenRef,hidden_reference,0.93
S01,seq4,Anchor,anchor,0.12
S01,seq4,CodecA,system,0.845
S01,seq4,CodecB,system,0.56
S02,seq1,HiddenRef,hidden_reference,0.9750000000000001
S02,seq1,Anchor,anchor,0.18
S02,seq1,CodecA,system,0.895
S02,seq1,CodecB,system,0.7
S02,seq2,HiddenRef,hidden_reference,0.85
S02,seq2,Anchor,anchor,0.2
S02,seq2,CodecA,system,0.745
S02,seq2,CodecB,system,0.77
S02,seq3,HiddenRef,hidden_reference,0.93
S02,seq3,Anchor,anchor,0.12
S02,seq3,CodecA,system,0.82
S02,seq3,CodecB,system,0.84
S02,seq4,HiddenRef,hidden_reference,0.9450000000000001
S02,seq4,Anchor,anchor,0.13999999999999999
S02,seq4,CodecA,system,0.895
S02,seq4,CodecB,system,0.595
S03,seq1,HiddenRef,hidden_reference,0.99
S03,seq1,Anchor,anchor,0.2
S03,seq1,CodecA,system,0.72
S03,seq1,CodecB,system,0.735
S03,seq2,HiddenRef,hidden_reference,0.93
S03,seq2,Anchor,anchor,0.12
S03,seq2,CodecA,system,0.795
S03,seq2,CodecB,system,0.805
S03,seq3,HiddenRef,hidden_reference,0.9450000000000001
S03,seq3,Anchor,anchor,0.25
S03,seq3,CodecA,system,0.87
S03,seq3,CodecB,system,0.56
S03,seq4,HiddenRef,hidden_reference,0.9600000000000001
S03,seq4,Anchor,anchor,0.16
S03,seq4,CodecA,system,0.72
S03,seq4,CodecB,system,0.63
S04,seq1,HiddenRef,hidden_reference,0.93
S04,seq1,Anchor,anchor,0.12
S04,seq1,CodecA,system,0.77
S04,seq1,CodecB,system,0.77
S04,seq2,HiddenRef,hidden_reference,0.9450000000000001
S04,seq2,Anchor,anchor,0.13999999999999999
S04,seq2,CodecA,system,0.845
S04,seq2,CodecB,system,0.84
S04,seq3,HiddenRef,hidden_reference,0.9600000000000001
S04,seq3,Anchor,anchor,0.16
S04,seq3,CodecA,system,0.92
S04,seq3,CodecB,system,0.595
S04,seq4,HiddenRef,hidden_reference,0.9750000000000001
S04,seq4,Anchor,anchor,0.18
S04,seq4,CodecA,system,0.77
S04,seq4,CodecB,system,0.665
S05,seq1,HiddenRef,hidden_reference,0.9450000000000001
S05,seq1,Anchor,anchor,0.13999999999999999
S05,seq1,CodecA,system,0.82
S05,seq1,CodecB,system,0.805
S05,seq2,HiddenRef,hidden_reference,0.9600000000000001
S05,seq2,Anchor,anchor,0.16
S05,seq2,CodecA,system,0.895
S05,seq2,CodecB,system,0.56
S05,seq3,HiddenRef,hidden_reference,0.9750000000000001
S05,seq3,Anchor,anchor,0.18
S05,seq3,CodecA,system,0.745
S05,seq3,CodecB,system,0.63
S05,seq4,HiddenRef,hidden_reference,0.99
S05,seq4,Anchor,anchor,0.2
S05,seq4,CodecA,system,0.82
S05,seq4,CodecB,system,0.7
S06,seq1,HiddenRef,hidden_reference,0.9600000000000001
S06,seq1,Anchor,anchor,0.16
S06,seq1,CodecA,system,0.87
S06,seq1,CodecB,system,0.84
S06,seq2,HiddenRef,hidden_reference,0.9750000000000001
S06,seq2,Anchor,anchor,0.18
S06,seq2,CodecA,system,0.72
S06,seq2,CodecB,system,0.595
S06,seq3,HiddenRef,hidden_reference,0.99
S06,seq3,Anchor,anchor,0.2
S06,seq3,CodecA,system,0.795
S06,seq3,CodecB,system,0.665
S06,seq4,HiddenRef,hidden_reference,0.93
S06,seq4,Anchor,anchor,0.12
S06,seq4,CodecA,system,0.87
S06,seq4,CodecB,system,0.735
S07,seq1,HiddenRef,hidden_reference,0.9750000000000001
S07,seq1,Anchor,anchor,0.18
S07,seq1,CodecA,system,0.92
S07,seq1,CodecB,system,0.56
S07,seq2,HiddenRef,hidden_reference,0.99
S07,seq2,Anchor,anchor,0.2
S07,seq2,CodecA,system,0.77
S07,seq2,CodecB,system,0.63
S07,seq3,HiddenRef,hidden_reference,0.93
S07,seq3,Anchor,anchor,0.12
S07,seq3,CodecA,system,0.845
S07,seq3,CodecB,system,0.7
S07,seq4,HiddenRef,hidden_reference,0.9450000000000001
S07,seq4,Anchor,anchor,0.13999999999999999
S07,seq4,CodecA,system,0.92
S07,seq4,CodecB,system,0.77
S08,seq1,HiddenRef,hidden_reference,0.99
S08,seq1,Anchor,anchor,0.2
S08,seq1,CodecA,system,0.745
S08,seq1,CodecB,system,0.595
S08,seq2,HiddenRef,hidden_reference,0.93
S08,seq2,Anchor,anchor,0.12
S08,seq2,CodecA,system,0.82
S08,seq2,CodecB,system,0.665
S08,seq3,HiddenRef,hidden_reference,0.9450000000000001
S08,seq3,Anchor,anchor,0.13999999999999999
S08,seq3,CodecA,system,0.895
S08,seq3,CodecB,system,0.735
S08,seq4,HiddenRef,hidden_reference,0.9600000000000001
S08,seq4,Anchor,anchor,0.16
S08,seq4,CodecA,system,0.745
S08,seq4,CodecB,system,0.15
